pct_total,game_mode,win_value_underdog,blind_combo_0,blind_combo_1,level_0,level_1,lognormal,pct_high_mean,high_low_ratio_mean,high_low_ratio_variance,mean_variance_ratio,pct_high_sigma,underdog_mean,underdog_variance
0.98,top_k,0.45,False,True,100,100,normal,0.4,1.2,1.2,0.5,0.1,0.49783684112131066,0.06525204891417319
0.98,top_k,0.45,False,True,100,100,normal,0.4,1.2,1.2,0.5,0.2,0.5308717512171509,1.210643009147431
0.98,top_k,0.45,False,True,100,100,normal,0.4,1.2,1.2,0.5,0.3,0.4936590809724742,0.05783511553771738
0.98,top_k,0.45,False,True,100,100,normal,0.4,1.2,1.2,0.5,0.4,0.46431846637689095,0.3582002914672456
0.98,top_k,0.45,False,True,100,100,normal,0.4,1.2,1.2,0.75,0.1,0.4947381479598827,0.15381636317955183
0.98,top_k,0.45,False,True,100,100,normal,0.4,1.2,1.2,0.75,0.2,0.49461349581081265,0.08343724174647982
0.98,top_k,0.45,False,True,100,100,normal,0.4,1.2,1.2,0.75,0.3,0.4945961029301049,0.0583646520253836
0.98,top_k,0.45,False,True,100,100,normal,0.4,1.2,1.2,0.75,0.4,0.4918103595542392,0.062184848436134595
0.98,top_k,0.45,False,True,100,100,normal,0.4,1.2,1.2,1.0,0.1,0.4977004902435266,0.06230286270197513
0.98,top_k,0.45,False,True,100,100,normal,0.4,1.2,1.2,1.0,0.2,0.5009833939241671,0.08001951164568777
0.98,top_k,0.45,False,True,100,100,normal,0.4,1.2,1.2,1.0,0.3,0.5499962137643463,1.396289677923731
0.98,top_k,0.45,False,True,100,100,normal,0.4,1.2,1.2,1.0,0.4,0.503759310537444,0.10180355825716898
0.98,top_k,0.45,False,True,100,100,normal,0.4,1.2,1.2,1.25,0.1,0.5091733138719422,0.06729264251410909
0.98,top_k,0.45,False,True,100,100,normal,0.4,1.2,1.2,1.25,0.2,0.5089287058145002,0.06365013060009543
0.98,top_k,0.45,False,True,100,100,normal,0.4,1.2,1.2,1.25,0.3,0.5066451871728072,0.07069870700632834
0.98,top_k,0.45,False,True,100,100,normal,0.4,1.2,1.2,1.25,0.4,0.5023606423724184,0.07963117985949193
0.98,top_k,0.45,False,True,100,100,normal,0.4,1.2,1.2,1.5,0.1,0.5076837950682797,0.06686349783082801
0.98,top_k,0.45,False,True,100,100,normal,0.4,1.2,1.2,1.5,0.2,0.5030950701684254,0.06492943387653272
0.98,top_k,0.45,False,True,100,100,normal,0.4,1.2,1.2,1.5,0.3,0.5002252074337573,0.07195704493719847
