pct_total,game_mode,win_value_underdog,blind_combo_0,blind_combo_1,level_0,level_1,lognormal,pct_high_mean,high_low_ratio_mean,high_low_ratio_variance,mean_variance_ratio,pct_high_sigma,underdog_mean,underdog_variance
0.98,top_k,0.25,False,True,100,100,log,0.2,1.4,1.2,0.5,0.1,0.543166522916373,2.0705663256386733
0.98,top_k,0.25,False,True,100,100,log,0.2,1.4,1.2,0.5,0.2,0.39569276575392975,1.0821247303917163
0.98,top_k,0.25,False,True,100,100,log,0.2,1.4,1.2,0.5,0.3,0.44080785187049903,1.242119296373465
0.98,top_k,0.25,False,True,100,100,log,0.2,1.4,1.2,0.5,0.4,0.4768157595399423,0.41221096197606855
0.98,top_k,0.25,False,True,100,100,log,0.2,1.4,1.2,0.75,0.1,0.4994790121091311,0.7028081047775545
0.98,top_k,0.25,False,True,100,100,log,0.2,1.4,1.2,0.75,0.2,0.4575072953591911,0.7053452469334515
0.98,top_k,0.25,False,True,100,100,log,0.2,1.4,1.2,0.75,0.3,0.4931998946938973,0.548131129257084
0.98,top_k,0.25,False,True,100,100,log,0.2,1.4,1.2,0.75,0.4,0.28969039294364896,6.0764935552284145
0.98,top_k,0.25,False,True,100,100,log,0.2,1.4,1.2,1.0,0.1,0.5334507534779758,0.821947135219945
0.98,top_k,0.25,False,True,100,100,log,0.2,1.4,1.2,1.0,0.2,0.49473937919221644,0.3300524527119779
0.98,top_k,0.25,False,True,100,100,log,0.2,1.4,1.2,1.0,0.3,0.4843851320164225,0.21156812174649078
0.98,top_k,0.25,False,True,100,100,log,0.2,1.4,1.2,1.0,0.4,0.4946270372635513,0.15558514033813672
0.98,top_k,0.25,False,True,100,100,log,0.2,1.4,1.2,1.25,0.1,0.5064345744833011,0.6639741550541048
0.98,top_k,0.25,False,True,100,100,log,0.2,1.4,1.2,1.25,0.2,0.47763362023656725,0.20051151463289002
0.98,top_k,0.25,False,True,100,100,log,0.2,1.4,1.2,1.25,0.3,0.4823510910424176,0.1749320116002637
0.98,top_k,0.25,False,True,100,100,log,0.2,1.4,1.2,1.25,0.4,0.49591244638033016,0.3027985316605245
0.98,top_k,0.25,False,True,100,100,log,0.2,1.4,1.2,1.5,0.1,0.4871621811497094,0.19299327509511274
0.98,top_k,0.25,False,True,100,100,log,0.2,1.4,1.2,1.5,0.2,0.4864734861672256,0.26332024003078414
0.98,top_k,0.25,False,True,100,100,log,0.2,1.4,1.2,1.5,0.3,0.44684258576406855,1.268134400026832
