pct_total,game_mode,win_value_underdog,blind_combo_0,blind_combo_1,level_0,level_1,lognormal,pct_high_mean,high_low_ratio_mean,high_low_ratio_variance,mean_variance_ratio,pct_high_sigma,underdog_mean,underdog_variance
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.2,0.5,0.1,0.4872356208335491,0.14459336054750513
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.2,0.5,0.2,0.49072721286891247,0.16173462965357688
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.2,0.5,0.3,0.4847606321978086,0.1514796355895787
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.2,0.5,0.4,0.49633284202066974,0.16695090905138968
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.2,0.75,0.1,0.48983930854270197,0.16499328196233326
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.2,0.75,0.2,0.49245243549492423,0.1694622033254396
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.2,0.75,0.3,0.48080381102070585,0.17978268131759678
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.2,0.75,0.4,0.44182206496277754,1.6549539859333575
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.2,1.0,0.1,0.4850067743046817,0.2344400220972585
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.2,1.0,0.2,0.49261430337193785,0.24972863618583913
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.2,1.0,0.3,0.47994242532202247,0.20665892754128842
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.2,1.0,0.4,0.4807572043995229,0.2249543864286875
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.2,1.25,0.1,0.46372052210443393,0.4237779673718159
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.2,1.25,0.2,0.489414562359217,0.3440953912821087
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.2,1.25,0.3,0.49422235443233437,0.42478002646473145
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.2,1.25,0.4,0.47044522918874127,1.2811960369162732
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.2,1.5,0.1,0.6982815688146775,6.745854659934091
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.2,1.5,0.2,0.8015317721058509,5.414515854314567
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.2,1.5,0.3,0.43591360644818655,1.6271917214181575
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.2,1.5,0.4,0.5731862249444812,1.8662054122583653
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.4,0.5,0.1,0.4930062245597478,0.15548083394271833
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.4,0.5,0.2,0.4934023350583484,0.15165107157576238
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.4,0.5,0.3,0.4895842818650401,0.16585235169694262
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.4,0.5,0.4,0.49362512216669496,0.16881655684767966
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.4,0.75,0.1,0.4833363358451059,0.1697154941028813
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.4,0.75,0.2,0.49671302581288634,0.17971230758178572
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.4,0.75,0.3,0.49912687166354747,0.1802955469300492
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.4,0.75,0.4,0.49725712849349374,0.19966703190980098
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.4,1.0,0.1,0.4958442531714883,0.21504989212190873
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.4,1.0,0.2,0.4837863194526383,0.6000532579492887
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.4,1.0,0.3,0.4962500505476482,0.27611534527501413
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.4,1.0,0.4,0.48799581826262767,0.5955251466194353
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.4,1.25,0.1,0.4987950042180336,1.0168148423711818
0.98,expected,0.35,False,False,100,100,normal,0.1,1.2,1.4,1.25,0.2,0.4863492159730686,0.3594488557122298
