pct_total,game_mode,win_value_underdog,blind_combo_0,blind_combo_1,level_0,level_1,lognormal,pct_high_mean,high_low_ratio_mean,high_low_ratio_variance,mean_variance_ratio,pct_high_sigma,underdog_mean,underdog_variance
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.2,0.5,0.1,0.49938588077628104,0.15730117533370555
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.2,0.5,0.2,0.49121012490735816,0.16688372957971412
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.2,0.5,0.3,0.4946202918372442,0.1101765865355293
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.2,0.5,0.4,0.478486062892595,0.10678795438278055
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.2,0.75,0.1,0.5254839278063561,0.11964878051096962
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.2,0.75,0.2,0.48784458690118604,0.07628779243855548
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.2,0.75,0.3,0.4867263491428868,0.10102466081316916
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.2,0.75,0.4,0.5035356356649222,0.11209012068097095
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.2,1.0,0.1,0.527100003564035,0.5079036388445684
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.2,1.0,0.2,0.491607442094065,0.08698429108833863
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.2,1.0,0.3,0.4805476595173785,0.11011398532438903
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.2,1.0,0.4,0.5227148993249998,0.12874943326174468
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.2,1.25,0.1,0.529976159808998,0.11153132704658818
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.2,1.25,0.2,0.4709996024621962,0.10895585716530452
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.2,1.25,0.3,0.497781669908154,0.12682935404823142
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.2,1.25,0.4,0.4910157582452945,0.09950124193408717
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.2,1.5,0.1,0.5409835329529196,0.16348163503015448
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.2,1.5,0.2,0.49959169488481836,0.09546218090754385
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.2,1.5,0.3,0.49476768423396733,0.11309029759165981
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.2,1.5,0.4,0.5147413739001476,0.11995918622601302
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.4,0.5,0.1,0.503619884216336,0.09816115047407435
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.4,0.5,0.2,0.4890683383722731,0.16057536421840135
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.4,0.5,0.3,0.4950745130036198,0.12032442652334428
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.4,0.5,0.4,0.46613663160612895,0.09372464784714404
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.4,0.75,0.1,0.515757414033527,0.23533569817028438
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.4,0.75,0.2,0.493386909127551,0.10487196209289971
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.4,0.75,0.3,0.4886532436489751,0.11087356198024459
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.4,0.75,0.4,0.51418265366588,0.09689046338616858
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.4,1.0,0.1,0.5268826502849746,0.1488798206530087
0.98,top_k,0.25,False,False,100,0,normal,0.2,1.2,1.4,1.0,0.2,0.5000893832875368,0.0917173006500589
