pct_total,game_mode,win_value_underdog,blind_combo_0,blind_combo_1,level_0,level_1,lognormal,pct_high_mean,high_low_ratio_mean,high_low_ratio_variance,mean_variance_ratio,pct_high_sigma,underdog_mean,underdog_variance
0.98,expected,0.35,False,True,100,0,log,0.3,1.4,1.2,0.5,0.1,0.6295281967959183,1.165173557064958
0.98,expected,0.35,False,True,100,0,log,0.3,1.4,1.2,0.5,0.2,0.5293538844472058,2.647747706419998
0.98,expected,0.35,False,True,100,0,log,0.3,1.4,1.2,0.5,0.3,0.5795566253991058,0.2970145817875882
0.98,expected,0.35,False,True,100,0,log,0.3,1.4,1.2,0.5,0.4,0.6563111848776245,0.8917397034087273
0.98,expected,0.35,False,True,100,0,log,0.3,1.4,1.2,0.75,0.1,0.5079446510655264,2.4013102508946127
0.98,expected,0.35,False,True,100,0,log,0.3,1.4,1.2,0.75,0.2,0.6447250897521238,0.5613476235760649
0.98,expected,0.35,False,True,100,0,log,0.3,1.4,1.2,0.75,0.3,0.583672972440447,0.2945042632101479
0.98,expected,0.35,False,True,100,0,log,0.3,1.4,1.2,0.75,0.4,0.5628248320059075,2.399803415899162
0.98,expected,0.35,False,True,100,0,log,0.3,1.4,1.2,1.0,0.1,0.5521257564302451,0.1658118174883264
0.98,expected,0.35,False,True,100,0,log,0.3,1.4,1.2,1.0,0.2,0.6075779559051245,0.21755176926644182
0.98,expected,0.35,False,True,100,0,log,0.3,1.4,1.2,1.0,0.3,0.5678807745103722,0.2726052056821275
0.98,expected,0.35,False,True,100,0,log,0.3,1.4,1.2,1.0,0.4,0.6284998990460173,0.46921674595160895
0.98,expected,0.35,False,True,100,0,log,0.3,1.4,1.2,1.25,0.1,0.552993319882032,0.20998648010905807
0.98,expected,0.35,False,True,100,0,log,0.3,1.4,1.2,1.25,0.2,0.5999508717239881,0.21581364790740667
0.98,expected,0.35,False,True,100,0,log,0.3,1.4,1.2,1.25,0.3,0.5644510729006438,0.19968790361804553
0.98,expected,0.35,False,True,100,0,log,0.3,1.4,1.2,1.25,0.4,0.5743431259893405,1.1704838231704127
0.98,expected,0.35,False,True,100,0,log,0.3,1.4,1.2,1.5,0.1,0.5588627045031394,0.18451500329528228
0.98,expected,0.35,False,True,100,0,log,0.3,1.4,1.2,1.5,0.2,0.6058667182859695,0.251640016013199
