pct_total,game_mode,win_value_underdog,blind_combo_0,blind_combo_1,level_0,level_1,lognormal,pct_high_mean,high_low_ratio_mean,high_low_ratio_variance,mean_variance_ratio,pct_high_sigma,underdog_mean,underdog_variance
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.2,0.5,0.1,0.4966826173862361,0.10033728346866636
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.2,0.5,0.2,0.49126046009409574,0.1000840479034358
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.2,0.5,0.3,0.4997321340444392,0.11142767446570519
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.2,0.5,0.4,0.4974586183810643,0.04958376860568657
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.2,0.75,0.1,0.49298201285976273,0.094320944177846
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.2,0.75,0.2,0.4884228269058949,0.06773854422161206
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.2,0.75,0.3,0.49549537363314744,0.11699304234132787
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.2,0.75,0.4,0.502571596638342,0.08501635760351085
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.2,1.0,0.1,0.49030788450843793,0.07962225246525645
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.2,1.0,0.2,0.48798210671204445,0.07430973086635279
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.2,1.0,0.3,0.49129780276280033,0.13423443387386896
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.2,1.0,0.4,0.4928329287361745,0.09871537591203773
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.2,1.25,0.1,0.49354175311162735,0.08887082783991546
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.2,1.25,0.2,0.5037833706901504,0.08190454417080503
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.2,1.25,0.3,0.4973574620492207,0.09980078331002405
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.2,1.25,0.4,0.4998722584254611,0.0734654773135397
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.2,1.5,0.1,0.491959390049489,0.08424909218032155
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.2,1.5,0.2,0.502466890664512,0.08401939402385111
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.2,1.5,0.3,0.4970343160135992,0.08713473293118254
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.2,1.5,0.4,0.4991151633386535,0.10193070032843492
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.4,0.5,0.1,0.5021201956733787,0.13801672621554564
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.4,0.5,0.2,0.4894447353746054,0.055310031924964365
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.4,0.5,0.3,0.49864261721066894,0.06038838500609657
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.4,0.5,0.4,0.4950244628855428,0.09784623714957505
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.4,0.75,0.1,0.4919268495078862,0.1239603653355963
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.4,0.75,0.2,0.49231251924953157,0.06815129547467914
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.4,0.75,0.3,0.4969460716056815,0.07407749659065942
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.4,0.75,0.4,0.5082033345781792,0.08401797040962791
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.4,1.0,0.1,0.49038105707327007,0.08797720160378211
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.4,1.0,0.2,0.4889811253462759,0.07260837650556166
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.4,1.0,0.3,0.4997703965705158,0.06792417084534458
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.4,1.0,0.4,0.5079116721925363,0.0952773995351786
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.4,1.25,0.1,0.4913350785086215,0.08750817215541196
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.4,1.25,0.2,0.5081965159927931,0.08149313788869185
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.4,1.25,0.3,0.4985351396362505,0.09270453729224654
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.4,1.25,0.4,0.5124297076683793,0.08637200517537245
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.4,1.5,0.1,0.4878925015577382,0.08278948158342386
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.4,1.5,0.2,0.5162338437526364,0.0826546160802515
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.4,1.5,0.3,0.50496686988728,0.07685239905540736
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.4,1.5,0.4,0.5145763676733829,0.09262468994776804
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.6,0.5,0.1,0.4986495952066283,0.09265126375582962
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.6,0.5,0.2,0.4916806280153147,0.053471599529987465
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.6,0.5,0.3,0.501012533517034,0.07208369916700871
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.6,0.5,0.4,0.5075493830303216,0.09192795374590239
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.6,0.75,0.1,0.4906655058509776,0.118463482882722
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.6,0.75,0.2,0.49363147620362885,0.06797264060164725
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.6,0.75,0.3,0.49355495817062583,0.07128844592858247
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.6,0.75,0.4,0.5117149819566502,0.0716789061795258
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.6,1.0,0.1,0.48854777170625746,0.07121231979948778
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.6,1.0,0.2,0.4938964901798778,0.07667677254123363
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.6,1.0,0.3,0.502412839730639,0.08794402204918282
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.6,1.0,0.4,0.5486993240679712,1.0813918219520096
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.6,1.25,0.1,0.48942054110660443,0.08737376381316059
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.6,1.25,0.2,0.49963493524794617,0.0778991387601217
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.6,1.25,0.3,0.48964414563722974,0.08448129135774586
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.6,1.25,0.4,0.5161659521948192,0.08297512825156243
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.6,1.5,0.1,0.49883333415771186,0.08797344313603027
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.6,1.5,0.2,0.5212219611570116,0.0891165344212741
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.6,1.5,0.3,0.515354829918931,0.08698073586438022
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.6,1.5,0.4,0.513691904527923,0.09022359620501975
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.8,0.5,0.1,0.49895250542821384,0.13974770677370646
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.8,0.5,0.2,0.5044831309750294,0.2525903337810712
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.8,0.5,0.3,0.5145243469013081,0.5319381714278741
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.8,0.5,0.4,0.5093017444441746,0.06209826899103083
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.8,0.75,0.1,0.484733830354838,0.15736472060472498
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.8,0.75,0.2,0.5081205131968591,0.0690867332067804
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.8,0.75,0.3,0.5165345206312391,0.0742382800283684
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.8,0.75,0.4,0.5132223181288957,0.0714336779697322
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.8,1.0,0.1,0.49236894704450324,0.08074815818629873
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.8,1.0,0.2,0.5143045845901515,0.07552004544307392
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.8,1.0,0.3,0.5094375016468231,0.08561163500072068
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.8,1.0,0.4,0.5132185190380568,0.08578487599831411
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.8,1.25,0.1,0.5058016645100626,0.08284532215846077
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.8,1.25,0.2,0.5273489549411224,0.08077446097737923
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.8,1.25,0.3,0.5259347793060556,0.08620736826578555
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.8,1.25,0.4,0.5289493797529426,0.09890339916098144
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.8,1.5,0.1,0.5016923453229387,0.08588358102685417
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.8,1.5,0.2,0.5346775925107468,0.08783571707580097
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.8,1.5,0.3,0.5285120540475012,0.0905276175481356
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,1.8,1.5,0.4,0.5234907440520699,0.10322458282359855
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,2.0,0.5,0.1,0.4988503601388367,0.0845609541666582
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,2.0,0.5,0.2,0.5187923966622573,0.07620716858500635
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,2.0,0.5,0.3,0.5115572532644657,0.0684620640016509
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,2.0,0.5,0.4,0.4496019039939019,2.212354226704559
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,2.0,0.75,0.1,0.502853805219742,0.0765211514870119
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,2.0,0.75,0.2,0.5220685350033194,0.07963767253124561
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,2.0,0.75,0.3,0.5015769514455201,0.08635847459878955
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,2.0,0.75,0.4,0.5168136923152236,0.08121498114833944
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,2.0,1.0,0.1,0.5103987970164203,0.08179964383247056
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,2.0,1.0,0.2,0.50566297551156,0.10996967605350243
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,2.0,1.0,0.3,0.5291277017742222,0.08418832885385974
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,2.0,1.0,0.4,0.524375765304905,0.09203542937206798
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,2.0,1.25,0.1,0.5175886681168087,0.0792525819384084
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,2.0,1.25,0.2,0.5254260881097684,0.09226298091823011
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,2.0,1.25,0.3,0.5247260504183026,0.09405435594857631
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,2.0,1.25,0.4,0.5323335600070168,0.09872539459017081
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,2.0,1.5,0.1,0.5285669247606875,0.08710570557208862
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,2.0,1.5,0.2,0.5445100268379147,0.09709157321225358
0.98,top_k,0.5,False,True,100,100,normal,0.2,2.0,2.0,1.5,0.3,0.5458475439020767,0.09538221665555284
