pct_total,game_mode,win_value_underdog,blind_combo_0,blind_combo_1,level_0,level_1,lognormal,pct_high_mean,high_low_ratio_mean,high_low_ratio_variance,mean_variance_ratio,pct_high_sigma,underdog_mean,underdog_variance
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.2,0.5,0.1,0.5090480497540336,0.2419660210940978
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.2,0.5,0.2,0.4920904935664657,0.31229871355230376
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.2,0.5,0.3,0.5150066273353056,0.4446464233956218
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.2,0.5,0.4,0.5074805653553828,0.4420829620782173
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.2,0.75,0.1,0.5835148762713736,2.2553434886012296
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.2,0.75,0.2,0.5051722253906406,0.3666117377748473
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.2,0.75,0.3,0.5046660535642454,0.8893850061378442
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.2,0.75,0.4,0.5195159877987184,0.18324305685932857
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.2,1.0,0.1,0.5092803755104092,0.16334598862800737
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.2,1.0,0.2,0.5034725530637267,0.220906906398449
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.2,1.0,0.3,0.6365575438418982,4.439907730756477
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.2,1.0,0.4,0.5130896455534184,0.18442037143843018
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.2,1.25,0.1,0.4992013561656734,0.15490735834833802
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.2,1.25,0.2,0.5530889581803928,1.3418205535141006
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.2,1.25,0.3,0.5034934237618717,0.13952503293508195
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.2,1.25,0.4,0.5075210987803904,0.20481952489187394
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.2,1.5,0.1,0.5105756764100922,0.15080518664184273
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.2,1.5,0.2,0.4993414130194172,0.2329054301491046
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.2,1.5,0.3,0.5226283939201283,0.3572716455513812
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.2,1.5,0.4,0.5363232956130125,0.7387600616108707
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.4,0.5,0.1,0.47931059670656917,0.7167234113039332
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.4,0.5,0.2,0.4946939138948782,0.2706264077773444
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.4,0.5,0.3,0.5134898326619234,0.25236650813026595
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.4,0.5,0.4,0.5347931826317204,0.641403841952088
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.4,0.75,0.1,0.5076533910345498,0.30102239755811505
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.4,0.75,0.2,0.4862749762390233,0.6585620364499523
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.4,0.75,0.3,0.5098862805358055,0.41001553540211344
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.4,0.75,0.4,0.522206193494216,0.29348358288679155
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.4,1.0,0.1,0.5005339342866275,0.20518363728183425
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.4,1.0,0.2,0.5229119440085458,0.657988636057966
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.4,1.0,0.3,0.5099237682374617,0.43996322114809133
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.4,1.0,0.4,0.4971755877319076,0.3118500006159451
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.4,1.25,0.1,0.5115385749857915,0.294679017518284
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.4,1.25,0.2,0.5127009490478096,0.29660283422142486
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.4,1.25,0.3,0.5080989468766538,0.22150651599928867
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.4,1.25,0.4,0.5351782478334212,0.7192413035721895
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.4,1.5,0.1,0.5030454348699657,0.1431980880334594
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.4,1.5,0.2,0.5127213800991622,0.17024463754801242
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.4,1.5,0.3,0.513086876547733,0.1545487247372788
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.4,1.5,0.4,0.5184369381764703,0.14997306354464612
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.6,0.5,0.1,0.5013545067242018,0.238096320493375
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.6,0.5,0.2,0.6032190775519701,3.424867034064118
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.6,0.5,0.3,0.5182004986600878,0.1856919317614601
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.6,0.5,0.4,0.5020963593950888,0.42801124729536516
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.6,0.75,0.1,0.5064790945114829,0.24635088792884902
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.6,0.75,0.2,0.5089881934219773,0.23008518385651283
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.6,0.75,0.3,0.511088207781564,0.14845988793745915
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.6,0.75,0.4,0.536423634672793,0.5679797013047763
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.6,1.0,0.1,0.46608484830647423,0.9601833536714793
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.6,1.0,0.2,0.5004952937592073,0.17678476326290896
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.6,1.0,0.3,0.512620254832445,0.154059826262433
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.6,1.0,0.4,0.5246935192916033,0.25384777433104916
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.6,1.25,0.1,0.5074034866193806,0.15730747545240947
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.6,1.25,0.2,0.524491072740225,0.4041348944689441
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.6,1.25,0.3,0.5093168069804995,0.1928604858960914
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.6,1.25,0.4,0.5190346224533406,0.13645100258320134
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.6,1.5,0.1,0.5090639045594088,0.19963510385579558
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.6,1.5,0.2,0.5073364422152514,0.1486557801285924
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.6,1.5,0.3,0.5032579143665646,0.16899956468365007
0.98,expected,0.4,False,True,100,100,log,0.4,1.2,1.6,1.5,0.4,0.49775260185674497,0.47214491892273963
