pct_total,game_mode,win_value_underdog,blind_combo_0,blind_combo_1,level_0,level_1,lognormal,pct_high_mean,high_low_ratio_mean,high_low_ratio_variance,mean_variance_ratio,pct_high_sigma,underdog_mean,underdog_variance
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.2,0.5,0.1,0.49359336606572346,0.14022461589400675
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.2,0.5,0.2,0.5375460164181974,0.26475334869542483
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.2,0.5,0.3,0.5313680760848596,0.18045568055015984
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.2,0.5,0.4,0.5294709087239804,0.1836945371482235
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.2,0.75,0.1,0.5044097918539545,0.20522003727041763
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.2,0.75,0.2,0.5712327981657366,1.029830880548307
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.2,0.75,0.3,0.5253240526453121,0.15649225708612144
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.2,0.75,0.4,0.5416977490254272,0.21157117811135567
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.2,1.0,0.1,0.4943797127739713,0.1860859266635066
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.2,1.0,0.2,0.5484457568703801,0.17556574071151695
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.2,1.0,0.3,0.5298138480408965,0.1925467753769442
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.2,1.0,0.4,0.5302140416941046,0.1952113225727592
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.2,1.25,0.1,0.490207612411112,0.18996422892187975
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.2,1.25,0.2,0.5294093529348625,0.2209613494439638
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.2,1.25,0.3,0.5284715187337242,0.1925504082234895
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.2,1.25,0.4,0.5204929003393943,0.20927636732712238
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.2,1.5,0.1,0.49618391790993244,0.210151649904476
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.2,1.5,0.2,0.5285741252612566,0.2225895782954529
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.2,1.5,0.3,0.5345456802004833,0.2135748139493454
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.2,1.5,0.4,0.5421572407573871,0.5064951000040062
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.4,0.5,0.1,0.49006312522395035,0.14592766792955905
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.4,0.5,0.2,0.5371096956822473,0.13925170976986748
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.4,0.5,0.3,0.5277437562452526,0.15130580114305223
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.4,0.5,0.4,0.5300166693714838,0.16116851712231683
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.4,0.75,0.1,0.5022932141188412,0.16545624062711428
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.4,0.75,0.2,0.5295773199795023,0.19785432388593074
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.4,0.75,0.3,0.5253689695303021,0.17611259460000395
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.4,0.75,0.4,0.5231661609271017,0.20004509830560457
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.4,1.0,0.1,0.49893007335851947,0.17649037356901218
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.4,1.0,0.2,0.5457987759034247,0.44114133272719463
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.4,1.0,0.3,0.5168535415617613,0.18661179620999926
0.99,expected,0.2,False,False,100,0,log,0.1,2.0,1.4,1.0,0.4,0.5232883107704575,0.1820891793862566
